owner_id,project_id,commits_id,commits_comments_id
31136572,68148740,723710719,5087867
31136572,68148740,723710719,5087868
40803822,107238596,1134698127,5961398
13290583,37242890,449013155,3838140
5624116,31931531,386275591,3499257
48142711,34418984,1295624877,6184258
38326488,128159889,1339864545,6291949
17311881,39597916,485827779,3995014
12320809,76426995,799267556,5043547
7787604,55616873,612706590,4444231
32331554,124980043,1292818073,6169730
32012938,49831511,551499847,4234387
32012938,50807551,567254525,4290634
32012938,50807551,567254525,4290635
32012938,50807551,571093510,4306298
40430041,84783810,880917407,5261979
48072286,123939400,1280187374,6141230
48072286,123939400,1280187374,6141231
24831760,50264818,584169433,5210725
24831760,42351360,894028264,5297830
37539920,72138981,760418107,4927979
6084127,86230004,893912107,5297342
12377790,34524186,420201960,3722054
12024804,78321512,905726097,5340270
35298564,88979882,920159593,5370768
46298079,114326424,1405231065,6392154
38206303,89422563,936419963,5416889
43412161,107648999,1109699680,5825486
43470073,97364204,1004456989,5574505
33454694,56826810,615511776,4454257
39697653,82680285,860257673,5210168
8498757,78835507,845462659,5172360
16416119,71036245,755616991,4912405
37341024,70992726,749782323,4894231
37341024,127801831,1346851154,6276045
37341024,127801831,1346851154,6277603
37341024,127801831,1346851154,6277611
37341024,127801831,1346851154,6277639
37341024,127801831,1346851154,6277650
37341024,127801831,1346851154,6277782
37341024,127874982,1349826898,6280338
37341024,127874982,1349826898,6280341
37341024,127874982,1349914367,6280499
37341024,127801831,1349945218,6280580
37341024,127801831,1349945218,6284832
37341024,127874982,1412174723,6404607
37341024,127874982,1412174723,6404609
37341024,127874982,1412174723,6404623
37341024,127874982,1412174723,6404634
37341024,127874982,1412174723,6404637
37341024,127874982,1412174723,6404656
37341024,127874982,1412174723,6406190
37341024,127874982,1412174723,6406197
37341024,127874982,1412174723,6406204
37341024,127874982,1412174723,6406316
49353542,125810313,1296808035,6186601
46746231,125193035,1292854274,6174739
10291440,97583882,1024467559,5624859
6483973,29271996,352456961,3243498
30891178,46255482,517629873,4264768
30891178,78627208,855228732,5196872
46096059,109938683,1153434143,5896142
296891,97526,35351399,467037
296891,28011051,336683420,3112170
296891,97526,479944859,3970385
296891,97526,479944865,3970405
11017019,106343603,1098592058,5785799
43544327,124956765,1294788469,6182619
43544327,124956765,1294788469,6182622
10239157,75708887,791435876,5023902
42372281,92679232,956117436,5465896
42372281,92679232,962800239,5482332
42372281,92848633,962861858,5482436
27839924,42153253,483182284,3984104
43622088,108138485,1115053272,5900898
43963543,125434923,1293856447,6180403
9432378,87142245,917943258,5364253
9432378,87142245,917965473,5364339
9432378,87142245,917965473,5364342
9432378,87142245,917965473,5364343
9432378,87142245,917965473,5364365
9432378,87142245,920820495,5372859
9432378,87142245,935633387,5416486
9432378,87142927,940479313,5427553
9432378,87142245,953546411,5461581
1123882,3438438,84993337,796423
1123882,51502223,563063467,4288928
45280787,108784156,1291567016,6163014
44302188,10027233,1292869998,6177013
44302188,116010678,1195168308,6274785
44302188,46281001,517150703,6274849
8315550,75053841,786544379,5007985
48939109,124187667,1281724765,6144468
26912394,20298971,260844981,4108439
26912394,39812284,477075270,5809953
35879542,64456385,693479906,4707535
31125242,53620039,586508946,4350428
11171336,120941398,1289901166,6159661
46906402,114665064,1181307861,5949940
33343330,126663453,1326545945,6239539
12359171,35692663,446638743,3827145
12359171,41445784,478307682,3986460
12359171,50657562,556139617,4252302
12359171,57408011,628470786,4482570
31960575,96607114,1030716784,5634158
31960575,96607114,1030716784,5635439
31960575,100265209,1035569775,5646174
31960575,100265209,1034380702,5647776
31960575,100265209,1036236536,5648136
31960575,51402335,1046918629,5672560
31960575,96607114,1098071883,5784865
31960575,113244272,1169932606,5929121
31960575,119540428,1232111453,6055788
31960575,112318497,1264972328,6109670
31960575,112318497,1272781899,6127104
31960575,111832756,1277745984,6136376
31960575,127085013,1308231558,6205277
31960575,127085013,1308231558,6206481
31960575,112318497,1260957046,6281331
31960575,112318497,1366565281,6311893
44812788,103865330,1085810121,5758983
